ID-Lattes,Nome,Título,Ano,Pais,Finalidade,Instituição-financiadora,Palavras-chave,Autores,Quantidade-autores,Tipo-patente,Código-do-registro-ou-patente,Data-pedido-depósito,Data-pedido-exame,Data-concessao,Instituição-depósito-registro,Número-depósito-PCT,Data-deposito-PCT,Nome-titular,Nome-depositante,Casamento-Levenshtein,GOOGLE-Id,GOOGLE-Number,GOOGLE-Title
'7533729699758819,Alexandre Xavier Falcão,Metal Artifacts Reduction for Cone Beam CT using Image Stacking,2014,Brasil,,,[],"Yang, D.; A. Souza; RAY, LAWRENCE; FALCÃO, A. X.",4,PRIVILEGIO_DE_INOVACAO_PI,20150178917,19122014,,,United States Patent and Trademark Office,,,,,"1,00",patent/US20150178917A1/en,US20150178917A1,Metal artifacts reduction for cone beam ct using image stacking 
'7533729699758819,Alexandre Xavier Falcão,Detection of Tooth Fractures in CBCT Image,2013,Estados Unidos,,,[],"A. Souza; RAY, LAWRENCE; FALCÃO, A. X.",3,PRIVILEGIO_DE_INOVACAO_PI,US9972083B2,22072013,,15052018,United States Patent and Trademark Office,,,,,"1,00",patent/US9972083B2/en,US9972083B2,Detection of tooth fractures in CBCT image 
'7533729699758819,Alexandre Xavier Falcão,A System for Diagnosing Intestinal Parasites by Computerized Image Analysis,2007,Estados Unidos,,FAPESP; CNPq,[],"Falcão, A.X.; SUZUKI, Celso Tetsuo Nagase; GOMES, J. F.; PAPA, J. P.; DIAS, Luiz Cândido S; Shimizu, S.H.",6,PRIVILEGIO_DE_INOVACAO_PI,WO2008064442,08102007,,05062008,WIPO - World Intellectual Property Organization,2008064442,08102007,,Universidade Estadual de Campinas,"1,00",patent/WO2008064442A3/en,WO2008064442A3,A system for diagnosing intestinal parasites by computerized image analysis 
'7533729699758819,Alexandre Xavier Falcão,QUANTITATIVE METHOD FOR 3-D BONE MINERAL DENSITY VISUALIZATION AND MONITORING,2014,Estados Unidos,,,[],"SOUZA, A.; RAY, L. A.; FALCÃO, A. X.",3,PRIVILEGIO_DE_INOVACAO_PI,20150348259,20062014,,,United States Patent and Trademark Office,,,,,"1,00",patent/US20150348259A1/en,US20150348259A1,Quantitative method for 3-d bone mineral density visualization and monitoring 
'7533729699758819,Alexandre Xavier Falcão,Dispositivo de Flotação e o seu Uso,2015,Brasil,,,[],"GOMES, J. F.; SOARES, FELIPE AUGUSTO; Falcão, A.X.; SABADINI, E.; SUZUKI, Celso Tetsuo Nagase",5,PRIVILEGIO_DE_INOVACAO_PI,BR1020150325630,22122015,,,INPI - Instituto Nacional da Propriedade Industrial,,,,Universidade Estadual de Campinas,"1,00",patent/BR102015032563A2/en,BR102015032563A2,Flotation device and its use 
'8146316620840313,Alfredo Miranda de Goes,"?NANOCOMPÓSITOS FOSFATADOS FUNCIONALIZADOS, PROCESSO DE PREPARAÇÃO E USO?",2017,Brasil,,,"['NANOCOMPÓSITOS', 'agente quimioterápico', 'Câncer de mama', 'compostos bioativos', 'toxidade']","GOES, A. M.; TOTARO, P. I. S. D.",2,PRIVILEGIO_DE_INOVACAO_PI,BR1320170284190,,,,UFMG,,28122017,,José Dias Correa Júnior;José Dias Correa Júnior,"1,00",patent/BR132017028419E2/en,BR132017028419E2,"functionalized phosphate nanocomposites, preparation and use process "
'4087752487104746,Aloisio Nelmo Klein,"Metallurgical composition of particulate materials, self-lubricating sintered products and process for obtaining self-lubricating sintered products.",2011,Estados Unidos,,,['Dry self lubricating sintered steels'],"Binder, R.; Klein, A N; Binder, C.; Hammes, G.; Parucker, M. L.; Ristow Jr., W.",6,PRIVILEGIO_DE_INOVACAO_PI,US2011/0212339A1,01092011,,,United States Patent and Trademark Office,,,,Universidade Federal de Santa Catarina;Whirlpool S/A - Unidade Embraco,"1,00",patent/US20110212339A1/en,US20110212339A1,"Metallurgical composition of particulate materials, self-lubricating sintered products and process for obtaining self-lubricating sintered products "
'4087752487104746,Aloisio Nelmo Klein,Plasma process and reactor for treating metallic pieces,2011,China,,,['Plasma nitriding'],"Binder, R.; Binder, C.; Hammes, G.; Klein, A N",4,PRIVILEGIO_DE_INOVACAO_PI,CN102099891A,15062011,,,Chinese Patent Office,,,,Whirlpool S/A - Unidade Embraco;Universidade Federal de Santa Catarina,"1,00",patent/CN102099891A/en,CN102099891A,Plasma process and reactor for treating metallic pieces 
'4087752487104746,Aloisio Nelmo Klein,Plasma process and reactor for treating metallic pieces,2011,Estados Unidos,,,['Plasma nitriding'],"Binder, R.; Binder, C.; Hammes, G.; Klein, A N",4,PRIVILEGIO_DE_INOVACAO_PI,US2011108059A1,12052011,,,United States Patent and Trademark Office,,,,Whirlpool S/A - Unidade Embraco;Universidade Federal de Santa Catarina,"1,00",patent/US20110108059A1/en,US20110108059A1,Plasma process and reactor for treating metallic pieces 
'4087752487104746,Aloisio Nelmo Klein,Plasma process and reactor for treating metallic pieces,2011,Alemanha,,,['Plasma nitriding'],"Binder, R.; Binder, C.; Hammes, G.; Klein, A N",4,PRIVILEGIO_DE_INOVACAO_PI,EP2294598A1,16032011,,,European Patent Office,,,,Universidade Federal de Santa Catarina;Whirlpool S/A - Unidade Embraco,"1,00",patent/EP2294598A1/en,EP2294598A1,Plasma process and reactor for treating metallic pieces 
'4087752487104746,Aloisio Nelmo Klein,Plasma process and reactor for treating metallic pieces,2010,Tailândia,,,[],"Binder, R.; Binder, C.; Hammes, G.; Klein, A N",4,PRIVILEGIO_DE_INOVACAO_PI,TW201011804A,16032010,,,Taiwan Patent Office,,,,Universidade Federal de Santa Catarina;Whirlpool S/A - Unidade Embraco,"1,00",patent/TW201011804A/en,TW201011804A,Plasma process and reactor for treating metallic pieces 
'4087752487104746,Aloisio Nelmo Klein,Plasma process and reactor for treating metallic pieces,2009,França,,,[],"Binder, R.; BINDER, C.; Hammes, G.; Klein, A N",4,PRIVILEGIO_DE_INOVACAO_PI,WO2009149526A8,17122009,,,WIPO - World Intellectual Property Organization,,,,,"1,00",patent/WO2009149526A8/en,WO2009149526A8,Plasma process and reactor for treating metallic pieces 
'4087752487104746,Aloisio Nelmo Klein,"Composition of particulate materials for forming self-lubricating products in sintered steel, product in self-lubricating sintered steel and process for obtaining self-lubricating products in sintered steel",2011,Estados Unidos,,,[],"Binder, R.; BINDER, C.; Klein, A. N.; Ristow Jr., W.",4,PRIVILEGIO_DE_INOVACAO_PI,US 12/998901,24112011,,,United States Patent and Trademark Office,,,,Universidade Federal de Santa Catarina;Whirlpool S/A - Unidade Embraco,"1,00",patent/US20110286873A1/en,US20110286873A1,"Composition of particulate materials for forming self-lubricating products in sintered steel, product in self-lubricating sintered steel and process for obtaining self-lubricating products in sintered steel "
'4087752487104746,Aloisio Nelmo Klein,Process for production of nanoparticles of solid lubricant and lubricant dispersions stable in oil and in water,2012,Brasil,,,[],"Binder, R.; Torres, F.W.; Drago, V.; Bernardi, C.; Binder, C.; Klein, A. N.",6,PRIVILEGIO_DE_INOVACAO_PI,WO2013006936,12072012,,,WIPO - World Intellectual Property Organization,,,,Aloisio Nelmo Klein;Universidade Federal de Santa Catarina;Whirlpool S/A - Unidade Embraco,"1,00",patent/WO2013006936A1/en,WO2013006936A1,Process for production of nanoparticles of solid lubricant and lubricant dispersions stable in oil and in water 
'4087752487104746,Aloisio Nelmo Klein,Process for manufacturing a porous body by powder metallurgy and metallurgic composition of particulate materials,2012,Brasil,,,[],"Binder, R.; Klein, A. N.; Lenzi, A.; BINDER, C.; Mocellin, I.C.M.; Mareze, P. H.",6,PRIVILEGIO_DE_INOVACAO_PI,WO2013091055,19122012,,,WIPO - World Intellectual Property Organization,,,,Aloisio Nelmo Klein;Universidade Federal de Santa Catarina;Whirlpool S/A - Unidade Embraco,"1,00",patent/WO2013091055A1/en,WO2013091055A1,Process for manufacturing a porous body by powder metallurgy and metallurgic composition of particulate materials 
'4087752487104746,Aloisio Nelmo Klein,Process for manufacturing a porous body by powder metallurgy and metallurgic composition of particulate materials,2012,Brasil,,,[],"Binder, R.; Klein, A. N.; Binder, Cristiano; Mocellin, I.C.M.; Lenzi, A.; Becker, R.P.; Mareze, P. H.",7,PRIVILEGIO_DE_INOVACAO_PI,CN104144760,19122012,,24082016,Chinese Patent Office,,,,Aloisio Nelmo Klein;Universidade Federal de Santa Catarina;Whirlpool S/A - Unidade Embraco,"1,00",patent/CN104144760A/en,CN104144760A,Process for manufacturing a porous body by powder metallurgy and metallurgic composition of particulate materials 
'4087752487104746,Aloisio Nelmo Klein,Process for manufacturing a porous body by powder metallurgy and metallurgic composition of particulate materials,2012,Coréia do Sul,,,[],"Binder, R.; Klein, A. N.; Binder, C.; Mocellin, I.C.M.; Lenzi, A.; Mareze, P. H.; Becker, R.P.",7,PRIVILEGIO_DE_INOVACAO_PI,KR20140113913,19122012,,,Korean Intellectual Property Office.,,,,Aloisio Nelmo Klein;Universidade Federal de Santa Catarina,"1,00",patent/KR20140113913A/en,KR20140113913A,Process for manufacturing a porous body by powder metallurgy and metallurgic composition of particulate materials 
'4087752487104746,Aloisio Nelmo Klein,Process for production of nanoparticles of solid lubricant and lubricant dispersions stable in oil and in water,2012,Coréia do Norte,,,[],"Binder, R.; Drago, V.; Klein, A. N.; Binder, C.; TORRES, F.W.; Bernardi, C.; Teixeira, A. M.",7,PRIVILEGIO_DE_INOVACAO_PI,KR20140042853,12072012,,,Korean Intellectual Property Office.,,,,Aloisio Nelmo Klein;Universidade Federal de Santa Catarina;Whirlpool S/A - Unidade Embraco,"1,00",patent/KR20140042853A/en,KR20140042853A,Process for production of nanoparticles of solid lubricant and lubricant dispersions stable in oil and in water 
'4087752487104746,Aloisio Nelmo Klein,Process for production of nanoparticles of solid lubricant and lubricant dispersions stable in oil and in water,2012,Estados Unidos,,,[],"Binder, R.; Drago, V.; Klein, A. N.; Binder, C.; Bernardi, C.; TORRES, F.W.; Teixeira, A. M.",7,PRIVILEGIO_DE_INOVACAO_PI,US2014221259,12072012,,06122016,United States Patent and Trademark Office,,,,Universidade Federal de Santa Catarina;Whirlpool S/A - Unidade Embraco,"1,00",patent/US20140221259A1/en,US20140221259A1,Process for production of nanoparticles of solid lubricant and lubricant dispersions stable in oil and in water 
'4087752487104746,Aloisio Nelmo Klein,Process for obtaining tight components by powder metallurgy,2014,Brasil,,,[],"Binder, R.; FURLAN, K. P.; Binder, C.; Klein, A. N.; MELLO, J. D. B. D.",5,PRIVILEGIO_DE_INOVACAO_PI,WO2015051432,07102014,,,WIPO - World Intellectual Property Organization,,,,Aloisio Nelmo Klein,"1,00",patent/WO2015051432A1/en,WO2015051432A1,Process for obtaining tight components by powder metallurgy 
'4087752487104746,Aloisio Nelmo Klein,"Process for increasing the adhesion of a reinforcing inorganic material in a polymeric matrix, a reinforcing inorganic material, a process for obtaining a thermoplastic composite material, a thermoplastic composite material, and a thermoplastic composite article",2014,Brasil,,,[],"Binder, R.; Oliveira, G. M. B.; RZATKI, F. D.; ARENHART, R. G.; Klein, A. N.",5,PRIVILEGIO_DE_INOVACAO_PI,WO2015061874,31102014,,,WIPO - World Intellectual Property Organization,,,,Aloisio Nelmo Klein;Universidade Federal de Santa Catarina;Whirlpool S/A - Unidade Embraco,"1,00",patent/WO2015061874A1/en,WO2015061874A1,". process for increasing the adhesion of a reinforcing inorganic material in a polymeric matrix, a reinforcing inorganic material, a process for obtaining a thermoplastic composite material, a thermoplastic composite material, and a thermoplastic composite article "
'4087752487104746,Aloisio Nelmo Klein,Manufacturing process of a porous component and a porous component,2013,Austrália,,,[],"Binder, C.; Binder, R.; Klein, A. N.; SCHROEDER, R.; FURLAN, K. P.; TORRES, F. W.",6,PRIVILEGIO_DE_INOVACAO_PI,AU2013328374,14102013,,,Australian Patent Ofice,,,,Aloisio Nelmo Klein;Whirlpool S/A - Unidade Embraco,"1,00",patent/AU2013328374A1/en,AU2013328374A1,Manufacturing process of a porous component and a porous component 
'4087752487104746,Aloisio Nelmo Klein,Manufacture of formed part made from Si-Mn or Si-Mn-C alloy steel,1983,Japão,,,[],"KLEIN, A.N.; KLEIN, A.N.; Thümmler, F. E.; Oberacker, R.",4,PRIVILEGIO_DE_INOVACAO_PI,JPS58210147,20051983,,,Japanese Patent Office,,,,Karlsruher Institut für Technologie,"1,00",patent/JPS58210147A/en,JPS58210147A,Manufacture of formed part made from si-mn or si-mn-c alloy steel 
'4087752487104746,Aloisio Nelmo Klein,Method for powder metallurgical production of structural parts of great strength and hardness from Si-Mn or Si-Mn-C alloyed steels,1985,Estados Unidos,,,[],"KLEIN, A.N.; KLEIN, A.N.; Oberacker, R.; Thümmler, F. E.",4,PRIVILEGIO_DE_INOVACAO_PI,US4913739,08031985,,03041990,United States Patent and Trademark Office,,,,Karlsruher Institut für Technologie,"1,00",patent/US4913739A/en,US4913739A,Method for powder metallurgical production of structural parts of great strength and hardness from Si-Mn or Si-Mn-C alloyed steels 
'4087752487104746,Aloisio Nelmo Klein,Process for removal of binders from parts produced by powder injection molding,2001,Estados Unidos,,,[],"KLEIN, A.N.; KLEIN, A.N.; MUZART, J. L. R.; Souza, A. R.; FREDEL, M. C.; Wendhausen, P. A. P.",6,PRIVILEGIO_DE_INOVACAO_PI,US6579493,19102001,,17062003,United States Patent and Trademark Office,,,,,"1,00",patent/US6579493B1/en,US6579493B1,Process for removal of binders from parts produced by powder injection molding 
'4087752487104746,Aloisio Nelmo Klein,Process extraction by plasma of junction in obtained pieces by molding powders by injection,2000,Brasil,,,[],"MUZART, J. L. R.; Souza, A. R.; FREDEL, M. C.; Wendhausen, P. A. P.; Nascimento, R. M.",5,PRIVILEGIO_DE_INOVACAO_PI,WO0073002,23052000,,,WIPO - World Intellectual Property Organization,,,,Aloisio Nelmo Klein;Aloisio Nelmo Klein,"1,00",patent/WO2000073002A1/en,WO2000073002A1,Process extraction by plasma of junction in obtained pieces by molding powders by injection 
'4087752487104746,Aloisio Nelmo Klein,Industrial plasma reactor for plasma assisted thermal debinding of powder injection-molded parts,2005,Brasil,,,[],"Machado, R.; RISTOW JR, W.; KLEIN, A.N.; MUZART, J. L. R.; FREDEL, M. C.; Wendhausen, P. A. P.; FUSAO, D.; Alba, P. R.; NILTON, S.; Mendes, L.",10,PRIVILEGIO_DE_INOVACAO_PI,WO2006012718,14072005,,,WIPO - World Intellectual Property Organization,,,,Aloisio Nelmo Klein,"1,00",patent/WO2006012718A1/en,WO2006012718A1,Industrial plasma reactor for plasma assisted thermal debinding of powder injection-molded parts 
'4087752487104746,Aloisio Nelmo Klein,Industrial plasma reactor for plasma assisted thermal debinding of powder injection-molded parts,2005,Alemanha,,,[],"Machado, R.; RISTOW JUNIOR, WALTER; KLEIN, A.N.; MUZART, J. L. R.; FREDEL, M. C.; Wendhausen, P. A. P.; FUSAO, D.; Alba, P. R.; NILTON, S.; Mendes, L.",10,PRIVILEGIO_DE_INOVACAO_PI,EP1804986,14052005,,,European Patent Office,,,,Aloisio Nelmo Klein,"1,00",patent/EP1804986A4/en,EP1804986A4,Industrial plasma reactor for plasma assisted thermal debinding of powder injection-molded parts 
'4087752487104746,Aloisio Nelmo Klein,Plasma process and reactor for treating metallic pieces,2009,Brasil,,,[],"BINDER, CRISTIANO; Binder, R.; KLEIN, A.N.; HAMMES, G.",4,PRIVILEGIO_DE_INOVACAO_PI,WO2009149526,09062009,,,WIPO - World Intellectual Property Organization,,,,Aloisio Nelmo Klein;Whirlpool S/A - Unidade Embraco,"1,00",patent/WO2009149526A1/en,WO2009149526A1,Plasma process and reactor for treating metallic pieces 
'4087752487104746,Aloisio Nelmo Klein,Plasma process and reactor for treating metallic pieces,2009,Coréia do Norte,,,[],"KLEIN, A.N.; KLEIN, A.N.; HAMMES, G.; BINDER, C.; Binder, R.",5,PRIVILEGIO_DE_INOVACAO_PI,KR20110031298,09062009,,11032016,KIPRIS - KOREA INTELLECTUAL PROPERTY RIGHTS INFORMATION SERVICE,,,,Whirlpool S/A - Unidade Embraco,"1,00",patent/KR20110031298A/en,KR20110031298A,Plasma process and reactor for treating metallic pieces 
'4087752487104746,Aloisio Nelmo Klein,Plasma process and reactor for treating metallic pieces,2009,China,,,[],"BINDER, C.; Binder, R.; KLEIN, A.N.; HAMMES, G.",4,PRIVILEGIO_DE_INOVACAO_PI,CN102099891,09062009,,11032016,SIPO State Intellectual Property Office,,,,Aloisio Nelmo Klein;Whirlpool S/A - Unidade Embraco,"1,00",patent/CN102099891A/en,CN102099891A,Plasma process and reactor for treating metallic pieces 
'4087752487104746,Aloisio Nelmo Klein,Plasma process and reactor for treating metallic pieces,2009,Alemanha,,,[],"KLEIN, A.N.; KLEIN, A.N.; BINDER, C.; Binder, R.; HAMMES, G.",5,PRIVILEGIO_DE_INOVACAO_PI,EP2294598,09062009,,05102016,European Patent Office,,,,Whirlpool S/A - Unidade Embraco,"1,00",patent/EP2294598A1/en,EP2294598A1,Plasma process and reactor for treating metallic pieces 
'4087752487104746,Aloisio Nelmo Klein,Plasma process and reactor for treating metallic pieces,2009,Estados Unidos,,,[],"KLEIN, A.N.; KLEIN, A.N.; HAMMES, G.; BINDER, C.; BINDER, ROBERTO",5,PRIVILEGIO_DE_INOVACAO_PI,US8926757,09062009,,06012015,United States Patent and Trademark Office,,,,Whirlpool S/A - Unidade Embraco,"1,00",patent/US8926757B2/en,US8926757B2,Plasma process and reactor for treating metallic pieces 
'4087752487104746,Aloisio Nelmo Klein,Plasma process and reactor for treating metallic pieces,2014,Estados Unidos,,,[],"KLEIN, A.N.; KLEIN, A.N.; BINDER, C.; BINDER, ROBERTO; HAMMES, G.",5,PRIVILEGIO_DE_INOVACAO_PI,US2015090403,02122014,,,United States Patent and Trademark Office,,,,Whirlpool S/A - Unidade Embraco,"1,00",patent/US20150090403A1/en,US20150090403A1,Plasma Process and Reactor for Treating Metallic Pieces 
'4087752487104746,Aloisio Nelmo Klein,Plasma process and reactor for treating metallic pieces,2009,Coréia do Norte,,,[],"KLEIN, A.N.; KLEIN, A.N.; BINDER, C.; BINDER, ROBERTO; HAMMES, G.",5,PRIVILEGIO_DE_INOVACAO_PI,KR20160022400,09062009,,,Korean Intellectual Property Rights Information Service,,,,Whirlpool S/A - Unidade Embraco,"1,00",patent/KR20160022400A/en,KR20160022400A,Plasma process and reactor for treating metallic pieces 
'4087752487104746,Aloisio Nelmo Klein,"Composition of particulate materials for forming self- lubricating products in sintered steel, product in self- lubricating sintered steel and process for obtaining self-lubricating products in sintered steel",2009,Brasil,,,[],"KLEIN, A.N.; KLEIN, A.N.; BINDER, C.; Binder, R.; RISTOW JUNIOR, WALTER",5,PRIVILEGIO_DE_INOVACAO_PI,WO2010069020,09122009,,,WIPO - World Intellectual Property Organization,,,,Whirlpool S/A - Unidade Embraco;Universidade Federal de Santa Catarina,"1,00",patent/WO2010069020A3/en,WO2010069020A3,"Composition of particulate materials for forming self- lubricating products in sintered steel, product in self- lubricating sintered steel and process for obtaining self-lubricating products in sintered steel "
'4087752487104746,Aloisio Nelmo Klein,"Composition of particulate materials for forming self- lubricating products in sintered steel, product in self- lubricating sintered steel and process for obtaining self-lubricating products in sintered steel",2009,China,,,[],"Binder, R.; BINDER, C.; RISTOW JUNIOR, WALTER",3,PRIVILEGIO_DE_INOVACAO_PI,CN102497948,09122009,,,State Intellectual Property Office of the P.R.C.,,,,Aloisio Nelmo Klein;Aloisio Nelmo Klein;Universidade Federal de Santa Catarina;Whirlpool S/A - Unidade Embraco,"1,00",patent/CN102497948A/en,CN102497948A,"Composition of particulate materials for forming self- lubricating products in sintered steel, product in self- lubricating sintered steel and process for obtaining self-lubricating products in sintered steel "
'4087752487104746,Aloisio Nelmo Klein,"Composition of particulate materials for forming self- lubricating products in sintered steel, product in self- lubricating sintered steel and process for obtaining self-lubricating products in sintered steel",2009,Alemanha,,,[],"BINDER, C.; BINDER, ROBERTO; RISTOW JR, W.",3,PRIVILEGIO_DE_INOVACAO_PI,EP2376246,09122009,,,European Patent Office,,,,Aloisio Nelmo Klein;Aloisio Nelmo Klein;Whirlpool S/A - Unidade Embraco;Universidade Federal de Santa Catarina,"1,00",patent/EP2376246A2/en,EP2376246A2,"Composition of particulate materials for forming self- lubricating products in sintered steel, product in self- lubricating sintered steel and process for obtaining self-lubricating products in sintered steel "
'4087752487104746,Aloisio Nelmo Klein,"Composition of particulate materials for forming self- lubricating products in sintered steel, product in self- lubricating sintered steel and process for obtaining self-lubricating products in sintered steel",2009,Coréia do Norte,,,[],"KLEIN, A.N.; KLEIN, A.N.; BINDER, C.; BINDER, ROBERTO; RISTOW JR, W.",5,PRIVILEGIO_DE_INOVACAO_PI,KR20110110179,12092009,,,Korean Intellectual Property Office,,,,Whirlpool S/A - Unidade Embraco;Universidade Federal de Santa Catarina,"1,00",patent/KR20110110179A/en,KR20110110179A,"Composition of particulate materials for forming self- lubricating products in sintered steel, product in self- lubricating sintered steel and process for obtaining self-lubricating products in sintered steel "
