Colonne1;Colonne2;Colonne3
Absorb;Field;Photosynthesis
Absorb;Field;Photovoltaic Effect
Absorb;Field;Piezoelectric Effect
Absorb;Field;Plenoptic Camera
Absorb;Field;Pockels Effect
Absorb;Field;Poisson's Effect
Absorb;Field;Pyroelectric Effect
Absorb;Field;Ratchet
Absorb;Field;Rayleigh Scattering
Absorb;Field;Reaction (physics)
Absorb;Field;Reaction Wheel
Absorb;Field;Rectenna
Absorb;Field;Refractory Material
Absorb;Field;Resonance
Absorb;Field;Reverberation
Absorb;Field;Rheopecty
Absorb;Field;Rubber Band Thermodynamics
Absorb;Field;Scattering
Absorb;Field;Shadow
Absorb;Field;Shear Thickening
Absorb;Field;Skin Effect
Absorb;Field;Smoke
Absorb;Field;Spatial Filter
Absorb;Field;Spring
Absorb;Field;Static Friction
Absorb;Field;Stick slip Phenomenon
Absorb;Field;Stress Relaxation
Absorb;Field;Sublimation
Absorb;Field;Super Black
Absorb;Field;Superconductivity
Absorb;Field;Tension
Absorb;Field;Terminal Velocity
Absorb;Field;Thermal Energy Storage
Absorb;Field;Thermal Expansion
Absorb;Field;Thermal Insulation
Absorb;Field;Thermochromic Paint
Absorb;Field;Thermochromism
Absorb;Field;Thermoluminescence
Absorb;Field;Thermolysis
Absorb;Field;Thermophoresis
Absorb;Field;Thompson Effect
Absorb;Field;Torque Oscillator
Absorb;Field;Torsion Spring
Absorb;Field;Total Internal Reflection
Absorb;Field;Tuned Mass Damper
Absorb;Field;Turbine
Absorb;Field;Velocity Ratio
Absorb;Field;Viscoelasticity
Absorb;Field;Weak Point
Absorb;Field;Wear
Absorb;Field;Wedge
Absorb;Gas;Absorption (physical)
Absorb;Gas;Accumulator (energy)
Absorb;Gas;Activated Alumina
Absorb;Gas;Activated Carbon
Absorb;Gas;Aerogels
Absorb;Gas;Artificial Photosynthesis
Absorb;Gas;Bubble
Absorb;Gas;Carbon Nanotubes
Absorb;Gas;Ceramic Foam
Absorb;Gas;Chemisorption
Absorb;Gas;Cryptophanes
Absorb;Gas;Entrainment
Absorb;Gas;Fermentation
Absorb;Gas;Foam
Absorb;Gas;Fuel Cell
Absorb;Gas;Gettering
Absorb;Gas;Hydrates
Absorb;Gas;Metal Foam
Absorb;Gas;Microsphere
Absorb;Gas;Nanoporous Material
Absorb;Gas;Photosynthesis
Absorb;Gas;Physical Vapour Deposition
Absorb;Gas;Physisorption
Absorb;Gas;Porosity
Absorb;Gas;Redox Reactions
Absorb;Gas;Reduction
Absorb;Gas;Reticulated Foam
Absorb;Gas;Semipermeable Membrane
Absorb;Gas;Solvation
Absorb;Gas;Sorption
Absorb;Gas;Sparging
Absorb;Gas;Supercritical Fluid
Absorb;Gas;Surfactant
Absorb;Gas;Syphon
Absorb;Gas;Two Phase Flow
Absorb;Gas;Vacuum
Absorb;Gas;Zeolite
Absorb;Gas;Absorption (physical)
Absorb;Gas;Accumulator (energy)
Absorb;Gas;Activated Alumina
Absorb;Gas;Activated Carbon
Absorb;Gas;Aerogels
Absorb;Gas;Artificial Photosynthesis
Absorb;Gas;Bubble
Absorb;Gas;Carbon Nanotubes
Absorb;Gas;Ceramic Foam
Absorb;Gas;Chemisorption
Absorb;Gas;Cryptophanes
Absorb;Gas;Entrainment
Absorb;Gas;Fermentation
Absorb;Gas;Foam
Absorb;Gas;Fuel Cell
Absorb;Gas;Gettering
Absorb;Gas;Hydrates
Absorb;Gas;Metal Foam
Absorb;Gas;Microsphere
Absorb;Gas;Nanoporous Material
Absorb;Gas;Photosynthesis
Absorb;Gas;Physical Vapour Deposition
Absorb;Gas;Physisorption
Absorb;Gas;Porosity
Absorb;Gas;Redox Reactions
Absorb;Gas;Reduction
Absorb;Gas;Reticulated Foam
Absorb;Gas;Semipermeable Membrane
Absorb;Gas;Solvation
Absorb;Gas;Sorption
Absorb;Gas;Sparging
Absorb;Gas;Supercritical Fluid
Absorb;Gas;Surfactant
Absorb;Gas;Syphon
Absorb;Gas;Two Phase Flow
Absorb;Gas;Vacuum
Absorb;Gas;Zeolite
Absorb;Liquid;Absorption (physical)
Absorb;Liquid;Accumulator (energy)
Absorb;Liquid;Activated Alumina
Absorb;Liquid;Activated Carbon
Absorb;Liquid;Aerogels
Absorb;Liquid;Artificial Photosynthesis
Absorb;Liquid;Brush
Absorb;Liquid;Bubble
Absorb;Liquid;Capillary Action
Absorb;Liquid;Capillary Porous Material
Absorb;Liquid;Carbon Nanotubes
Absorb;Liquid;Ceramic Foam
Absorb;Liquid;Chemisorption
Absorb;Liquid;Conic Capillary Effect
Absorb;Liquid;Entrainment
Absorb;Liquid;Fermentation
Absorb;Liquid;Filter (physical)
Absorb;Liquid;Foam
Absorb;Liquid;Freeze Casting
Absorb;Liquid;Fuel Cell
Absorb;Liquid;Gettering
Absorb;Liquid;Hydrates
Absorb;Liquid;Hydrogel
Absorb;Liquid;Hydrogenation
Absorb;Liquid;Iontophoresis
Absorb;Liquid;Liquid Membrane
Absorb;Liquid;Liquid Liquid Extraction
Absorb;Liquid;Metal Foam
Absorb;Liquid;Microsphere
Absorb;Liquid;Montmorillonite
Absorb;Liquid;Nanofoam
Absorb;Liquid;Nanoporous Material
Absorb;Liquid;Nap
Absorb;Liquid;Osmosis
Absorb;Liquid;Physisorption
Absorb;Liquid;Porosity
Absorb;Liquid;Redox Reactions
Absorb;Liquid;Reduction
Absorb;Liquid;Reticulated Foam
Absorb;Liquid;Semipermeable Membrane
Absorb;Liquid;Solvation
Absorb;Liquid;Sorption
Absorb;Liquid;Sparging
Absorb;Liquid;Sponge
Absorb;Liquid;Supercritical Fluid
Absorb;Liquid;Supercritical Fluid Extraction
Absorb;Liquid;Syphon
Absorb;Liquid;Two Phase Flow
Absorb;Liquid;Vacuum
Absorb;Liquid;Wetting
Absorb;Liquid;Zeolite
Absorb;Liquid;Absorption (physical)
Absorb;Liquid;Accumulator (energy)
Absorb;Liquid;Activated Alumina
Absorb;Liquid;Activated Carbon
Absorb;Liquid;Aerogels
Absorb;Liquid;Artificial Photosynthesis
Absorb;Liquid;Brush
Absorb;Liquid;Bubble
Absorb;Liquid;Capillary Action
Absorb;Liquid;Capillary Porous Material
Absorb;Liquid;Carbon Nanotubes
Absorb;Liquid;Ceramic Foam
Absorb;Liquid;Chemisorption
Absorb;Liquid;Conic Capillary Effect
Absorb;Liquid;Entrainment
Absorb;Liquid;Fermentation
Absorb;Liquid;Filter (physical)
Absorb;Liquid;Foam
Absorb;Liquid;Freeze Casting
Absorb;Liquid;Fuel Cell
Absorb;Liquid;Gettering
Absorb;Liquid;Hydrates
Absorb;Liquid;Hydrogel
Absorb;Liquid;Hydrogenation
Absorb;Liquid;Iontophoresis
Absorb;Liquid;Liquid Membrane
Absorb;Liquid;Liquid Liquid Extraction
Absorb;Liquid;Metal Foam
Absorb;Liquid;Microsphere
Absorb;Liquid;Montmorillonite
Absorb;Liquid;Nanofoam
Absorb;Liquid;Nanoporous Material
Absorb;Liquid;Nap
Absorb;Liquid;Osmosis
Absorb;Liquid;Physisorption
Absorb;Liquid;Porosity
Absorb;Liquid;Redox Reactions
Absorb;Liquid;Reduction
Absorb;Liquid;Reticulated Foam
Absorb;Liquid;Semipermeable Membrane
Absorb;Liquid;Solvation
Absorb;Liquid;Sorption
Absorb;Liquid;Sparging
Absorb;Liquid;Sponge
Absorb;Liquid;Supercritical Fluid
Absorb;Liquid;Supercritical Fluid Extraction
Absorb;Liquid;Syphon
Absorb;Liquid;Two Phase Flow
Absorb;Liquid;Vacuum
Absorb;Liquid;Wetting
Absorb;Liquid;Zeolite
Absorb;Solid;Colloid
Absorb;Solid;Fermentation
Absorb;Solid;Filter (physical)
Absorb;Solid;Gel
Absorb;Solid;Gettering
Absorb;Solid;Ion Implantation
Absorb;Solid;Iontophoresis
Absorb;Solid;Liquid Liquid Extraction
Absorb;Solid;Microsphere
Absorb;Solid;Physisorption
Absorb;Solid;Porosity
Absorb;Solid;Redox Reactions
Absorb;Solid;Reduction
Absorb;Solid;Sol
Absorb;Solid;Solvation
Absorb;Solid;Supercritical Fluid
Absorb;Solid;Supercritical Fluid Extraction
Absorb;Solid;Suspension
Absorb;Solid;Colloid
Absorb;Solid;Fermentation
Absorb;Solid;Filter (physical)
Absorb;Solid;Gel
Absorb;Solid;Gettering
Absorb;Solid;Ion Implantation
Absorb;Solid;Iontophoresis
Absorb;Solid;Liquid Liquid Extraction
Absorb;Solid;Microsphere
Absorb;Solid;Physisorption
Absorb;Solid;Porosity
Absorb;Solid;Redox Reactions
Absorb;Solid;Reduction
Absorb;Solid;Sol
Absorb;Solid;Solvation
Absorb;Solid;Supercritical Fluid
Absorb;Solid;Supercritical Fluid Extraction
Absorb;Solid;Suspension
Accumulate;Divided Solid;Absorption (physical)
Accumulate;Divided Solid;Acoustic Levitation
Accumulate;Divided Solid;Acoustic Tweezers
Accumulate;Divided Solid;Activated Alumina
Accumulate;Divided Solid;Activated Carbon
Accumulate;Divided Solid;Adhesive
Accumulate;Divided Solid;Adsorption
Accumulate;Divided Solid;Advection
Accumulate;Divided Solid;Angle of Repose
Accumulate;Divided Solid;Bi Metallic Strip
Accumulate;Divided Solid;Binder
Accumulate;Divided Solid;Bingham Plastic
Accumulate;Divided Solid;Brush
Accumulate;Divided Solid;Capacitance
Accumulate;Divided Solid;Centrifugal Force
Accumulate;Divided Solid;Centrifugal Separation
Accumulate;Divided Solid;Centrifuge
Accumulate;Divided Solid;Cheerio Effect
Accumulate;Divided Solid;Chemical Transport Reactions
Accumulate;Divided Solid;Close Packing
Accumulate;Divided Solid;Coanda Effect
Accumulate;Divided Solid;Coffee Ring Effect
Accumulate;Divided Solid;Colloid
Accumulate;Divided Solid;Composite Materials
Accumulate;Divided Solid;Convection
Accumulate;Divided Solid;Coprecipitation
Accumulate;Divided Solid;Corrugation
Accumulate;Divided Solid;Creaming
Accumulate;Divided Solid;Crystallisation
Accumulate;Divided Solid;Cyclone Separation
Accumulate;Divided Solid;Electret
Accumulate;Divided Solid;Electric Arc
Accumulate;Divided Solid;Electric Field
Accumulate;Divided Solid;Electrodeposition
Accumulate;Divided Solid;Electromagnet
Accumulate;Divided Solid;Electromagnetic Induction
Accumulate;Divided Solid;Electropermanent Magnet
Accumulate;Divided Solid;Electrophoresis
Accumulate;Divided Solid;Electrophoretic Deposition
Accumulate;Divided Solid;Electrostatic Induction
Accumulate;Divided Solid;Electrostatics
Accumulate;Divided Solid;Erosion
Accumulate;Divided Solid;Fan
Accumulate;Divided Solid;Faraday Wave
Accumulate;Divided Solid;Ferrofluid
Accumulate;Divided Solid;Ferromagnetic Powder
Accumulate;Divided Solid;Ferromagnetism
Accumulate;Divided Solid;Filter (physical)
Accumulate;Divided Solid;Fin
Accumulate;Divided Solid;Flocculation
Accumulate;Divided Solid;Foam
Accumulate;Divided Solid;Forced Convection
Accumulate;Divided Solid;Fractal Forms
Accumulate;Divided Solid;Fractionation
Accumulate;Divided Solid;Free Convection
Accumulate;Divided Solid;Free Surface Effect
Accumulate;Divided Solid;Froth Floatation
Accumulate;Divided Solid;Funnel
Accumulate;Divided Solid;Gas Compressor
Accumulate;Divided Solid;Gel
Accumulate;Divided Solid;Gettering
Accumulate;Divided Solid;Gravitation
Accumulate;Divided Solid;Groove
Accumulate;Divided Solid;Halbach Array
Accumulate;Divided Solid;Inclined Plane
Accumulate;Divided Solid;Inertia
Accumulate;Divided Solid;Ion Repulsion/Attraction
Accumulate;Divided Solid;Lamella
Accumulate;Divided Solid;Lorentz Force
Accumulate;Divided Solid;Magnetic Field
Accumulate;Divided Solid;Magnetism
Accumulate;Divided Solid;Metal Foam
Accumulate;Divided Solid;Metastability
Accumulate;Divided Solid;Nanocomposite
Accumulate;Divided Solid;Nanoporous Material
Accumulate;Divided Solid;Nap
Accumulate;Divided Solid;Nucleation
Accumulate;Divided Solid;Ostwald Ripening
Accumulate;Divided Solid;Peristaltic Pump
Accumulate;Divided Solid;Photophoresis
Accumulate;Divided Solid;Photopolymerisation
Accumulate;Divided Solid;Physical Containment
Accumulate;Divided Solid;Potential Well
Accumulate;Divided Solid;Precipitation
Accumulate;Divided Solid;Pressure Gradient
Accumulate;Divided Solid;Pulsed Laser Deposition
Accumulate;Divided Solid;Pump
Accumulate;Divided Solid;Rayleigh Benard Convection
Accumulate;Divided Solid;Reticulated Foam
Accumulate;Divided Solid;Sedimentation
Accumulate;Divided Solid;Selective Laser Sintering
Accumulate;Divided Solid;Self Assembly
Accumulate;Divided Solid;Settling
Accumulate;Divided Solid;Sintering
Accumulate;Divided Solid;Smoke
Accumulate;Divided Solid;Sol
Accumulate;Divided Solid;Solenoid
Accumulate;Divided Solid;Solvation
Accumulate;Divided Solid;Sorption
Accumulate;Divided Solid;Sponge
Accumulate;Divided Solid;Suction
Accumulate;Divided Solid;Supersaturation
Accumulate;Divided Solid;Suspension
Accumulate;Divided Solid;Syphon
Accumulate;Divided Solid;Tea Leaf Paradox
Accumulate;Divided Solid;Thermophoresis
Accumulate;Divided Solid;Triboelectric Effect
Accumulate;Divided Solid;Vortex Ring
Accumulate;Divided Solid;Zeolite
Accumulate;Divided Solid;Absorption (physical)
Accumulate;Divided Solid;Acoustic Levitation
Accumulate;Divided Solid;Acoustic Tweezers
Accumulate;Divided Solid;Activated Alumina
Accumulate;Divided Solid;Activated Carbon
Accumulate;Divided Solid;Adhesive
Accumulate;Divided Solid;Adsorption
Accumulate;Divided Solid;Advection
Accumulate;Divided Solid;Angle of Repose
Accumulate;Divided Solid;Bi Metallic Strip
Accumulate;Divided Solid;Binder
Accumulate;Divided Solid;Bingham Plastic
Accumulate;Divided Solid;Brush
Accumulate;Divided Solid;Capacitance
Accumulate;Divided Solid;Centrifugal Force
Accumulate;Divided Solid;Centrifugal Separation
Accumulate;Divided Solid;Centrifuge
Accumulate;Divided Solid;Cheerio Effect
Accumulate;Divided Solid;Chemical Transport Reactions
Accumulate;Divided Solid;Close Packing
Accumulate;Divided Solid;Coanda Effect
Accumulate;Divided Solid;Coffee Ring Effect
Accumulate;Divided Solid;Colloid
Accumulate;Divided Solid;Composite Materials
Accumulate;Divided Solid;Convection
Accumulate;Divided Solid;Coprecipitation
Accumulate;Divided Solid;Corrugation
Accumulate;Divided Solid;Creaming
Accumulate;Divided Solid;Crystallisation
Accumulate;Divided Solid;Cyclone Separation
Accumulate;Divided Solid;Electret
Accumulate;Divided Solid;Electric Arc
Accumulate;Divided Solid;Electric Field
Accumulate;Divided Solid;Electrodeposition
Accumulate;Divided Solid;Electromagnet
Accumulate;Divided Solid;Electromagnetic Induction
Accumulate;Divided Solid;Electropermanent Magnet
Accumulate;Divided Solid;Electrophoresis
Accumulate;Divided Solid;Electrophoretic Deposition
Accumulate;Divided Solid;Electrostatic Induction
Accumulate;Divided Solid;Electrostatics
Accumulate;Divided Solid;Erosion
Accumulate;Divided Solid;Fan
Accumulate;Divided Solid;Faraday Wave
Accumulate;Divided Solid;Ferrofluid
Accumulate;Divided Solid;Ferromagnetic Powder
Accumulate;Divided Solid;Ferromagnetism
Accumulate;Divided Solid;Filter (physical)
Accumulate;Divided Solid;Fin
Accumulate;Divided Solid;Flocculation
Accumulate;Divided Solid;Foam
Accumulate;Divided Solid;Forced Convection
Accumulate;Divided Solid;Fractal Forms
Accumulate;Divided Solid;Fractionation
Accumulate;Divided Solid;Free Convection
Accumulate;Divided Solid;Free Surface Effect
Accumulate;Divided Solid;Froth Floatation
Accumulate;Divided Solid;Funnel
Accumulate;Divided Solid;Gas Compressor
Accumulate;Divided Solid;Gel
Accumulate;Divided Solid;Gettering
Accumulate;Divided Solid;Gravitation
Accumulate;Divided Solid;Groove
Accumulate;Divided Solid;Halbach Array
Accumulate;Divided Solid;Inclined Plane
Accumulate;Divided Solid;Inertia
Accumulate;Divided Solid;Ion Repulsion/Attraction
Accumulate;Divided Solid;Lamella
Accumulate;Divided Solid;Lorentz Force
Accumulate;Divided Solid;Magnetic Field
Accumulate;Divided Solid;Magnetism
Accumulate;Divided Solid;Metal Foam
Accumulate;Divided Solid;Metastability
Accumulate;Divided Solid;Nanocomposite
Accumulate;Divided Solid;Nanoporous Material
